"dataset_ID","meantimes","Abies","Arctostaphylos","Arctostaphylos.uva.ursi","Huperzia","Huperzia.selago","Linnaea.borealis","Lycopodium","Lycopodium.annotinum","Melampyrum","Picea","Picea.abies","Pinus","Pinus.sylvestris","Taxus","Taxus.baccata","Vaccinium"
"12",8853.283,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0.280913978494624",NA,NA,NA,NA
"12",8881.53,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0.336486486486486",NA,NA,NA,NA
"12",8909.463,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0.26453488372093",NA,NA,NA,NA
"12",8938.078,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0.338368580060423",NA,NA,NA,NA
"12",8967.124,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0.584548104956268",NA,NA,NA,NA
"12",8997.1,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0.650159744408946",NA,NA,NA,NA
"12",9025.563,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0.51949860724234",NA,NA,NA,NA
"12",9053.789,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0.573692551505547",NA,NA,NA,NA
"12",9081.166,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0.587628865979381",NA,NA,NA,NA
"12",9109.566,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0.711811023622047",NA,NA,NA,NA
"12",9139.718,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0.684281842818428",NA,NA,NA,NA
"12",9168.18,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0.640875912408759",NA,NA,NA,NA
"12",9197.912,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0.603960396039604",NA,NA,NA,NA
"12",9226.451,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0.598214285714286",NA,NA,NA,NA
"12",9257.408,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0.433936022253129",NA,NA,NA,NA
"12",9287.134,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0.603343465045593",NA,NA,NA,NA
"12",9315.232,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0.249056603773585",NA,NA,NA,NA
"12",9344.431,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0.538764783180026",NA,NA,NA,NA
"12",9374.141,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0.28080229226361",NA,NA,NA,NA
"12",9433.605,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0.162412993039443",NA,NA,NA,NA
"12",9495.527,NA,NA,NA,NA,NA,NA,"0.00138888888888889",NA,NA,"0",NA,"0.454166666666667",NA,NA,NA,NA
