"dataset_ID","meantimes","Echium","Echium.vulgare","Gnaphalium","Portulaca","Potentilla","Potentilla.recta","Sagina","Spergularia","Verbascum","Xanthium"
"1438",3265.973,NA,NA,NA,"0","0",NA,NA,NA,NA,NA
"1438",3627.566,NA,NA,NA,"0","0",NA,NA,NA,NA,NA
"1438",4011.453,NA,NA,NA,"0","0",NA,NA,NA,NA,NA
"1438",4586.801,NA,NA,NA,"0","0",NA,NA,NA,NA,NA
"1438",5002.82,NA,NA,NA,"0","0",NA,NA,NA,NA,NA
"1438",5235.116,NA,NA,NA,"0","0",NA,NA,NA,NA,NA
"1438",5629.844,NA,NA,NA,"0","0",NA,NA,NA,NA,NA
"1438",6219.133,NA,NA,NA,"0","0",NA,NA,NA,NA,NA
"1438",6588.752,NA,NA,NA,"0","0",NA,NA,NA,NA,NA
"1438",6944.894,NA,NA,NA,"0","0",NA,NA,NA,NA,NA
"1438",7483.928,NA,NA,NA,"0","0",NA,NA,NA,NA,NA
"1438",7825.708,NA,NA,NA,"0","0",NA,NA,NA,NA,NA
"1438",8148.359,NA,NA,NA,"0","0",NA,NA,NA,NA,NA
"1438",8493.616,NA,NA,NA,"0","0",NA,NA,NA,NA,NA
"1438",8921.27,NA,NA,NA,"0","0",NA,NA,NA,NA,NA
"1438",9139.447,NA,NA,NA,"0","0",NA,NA,NA,NA,NA
"1438",9387.966,NA,NA,NA,"0","0",NA,NA,NA,NA,NA
"1438",9763.504,NA,NA,NA,"0","0",NA,NA,NA,NA,NA
"1438",10151.337,NA,NA,NA,"0","0",NA,NA,NA,NA,NA
"1438",10498.379,NA,NA,NA,"0","0",NA,NA,NA,NA,NA
"1438",10962.078,NA,NA,NA,"0","0",NA,NA,NA,NA,NA
"1438",11870.764,NA,NA,NA,"0","0",NA,NA,NA,NA,NA
"1438",13436.855,NA,NA,NA,"0","0.00101163378856854",NA,NA,NA,NA,NA
"1438",13610.291,NA,NA,NA,"0","0.000540248514316586",NA,NA,NA,NA,NA
"1438",13723.761,NA,NA,NA,"0","0.00117233294255569",NA,NA,NA,NA,NA
"1438",13835.682,NA,NA,NA,"0","0.000547345374931582",NA,NA,NA,NA,NA
"1438",14079.894,NA,NA,NA,"0","0",NA,NA,NA,NA,NA
"1438",14227.223,NA,NA,NA,"0","0",NA,NA,NA,NA,NA
"1438",14356.308,NA,NA,NA,"0","0",NA,NA,NA,NA,NA
"1438",14481.277,NA,NA,NA,"0","0",NA,NA,NA,NA,NA
"1438",14702.862,NA,NA,NA,"0","0",NA,NA,NA,NA,NA
"1438",14844.824,NA,NA,NA,"0","0",NA,NA,NA,NA,NA
"1438",14939.452,NA,NA,NA,"0","0",NA,NA,NA,NA,NA
"1438",15001.024,NA,NA,NA,"0","0",NA,NA,NA,NA,NA
"1438",15150.501,NA,NA,NA,"0","0",NA,NA,NA,NA,NA
"1438",15209.086,NA,NA,NA,"0","0",NA,NA,NA,NA,NA
"4092",694.87,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA
"4092",916.779,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA
"4092",1048.774,NA,NA,NA,NA,"0.00103199174406605",NA,NA,NA,NA,NA
"4092",1194.388,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA
"4092",1324.468,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA
"4092",1446.305,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA
"4092",1560.794,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA
"4092",1675.998,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA
"4092",1786.229,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA
"4092",1891.411,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA
"4092",1990.835,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA
"4092",2091.156,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA
"4092",2194.338,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA
"4092",2296.608,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA
