"","site","long","lat","location","dataSet"
"193",3134,29.8992,60.5309,"Europe>Eastern Europe>Russian Federation","Medvedevskoe.Nazarova.2018"
"194",3135,29.8992,60.5309,"Europe>Eastern Europe>Russian Federation","Medvedevskoe.Nazarova.2018"
"195",3136,29.8992,60.5309,"Europe>Eastern Europe>Russian Federation","Medvedevskoe.Nazarova.2018"
"196",3349,16.38,68.65,"Europe>Northern Europe>Scandinavia>Norway","Myrvatn.Seppa.2009"
"197",3350,16.38,68.65,"Europe>Northern Europe>Scandinavia>Norway","Myrvatn.Seppa.2009"
"198",3351,16.38,68.65,"Europe>Northern Europe>Scandinavia>Norway","Myrvatn.Seppa.2009"
"199",3378,24.7,61.8,"Europe>Northern Europe>Scandinavia>Finland","Nautajarvi.Seppa.2009"
"200",3379,24.7,61.8,"Europe>Northern Europe>Scandinavia>Finland","Nautajarvi.Seppa.2009"
"201",3423,18.78,68.33,"Europe>Northern Europe>Scandinavia>Sweden","Njakajaure.Bigler.2006"
"202",3424,18.78,68.33,"Europe>Northern Europe>Scandinavia>Sweden","Njakajaure.Bigler.2006"
"203",3425,18.78,68.33,"Europe>Northern Europe>Scandinavia>Sweden","Njakajaure.Bigler.2006"
"204",3426,18.7,68.37,"Europe>Northern Europe>Scandinavia>Sweden","Njulla.Larocque.2004"
"205",3427,18.7,68.37,"Europe>Northern Europe>Scandinavia>Sweden","Njulla.Larocque.2004"
"206",3428,18.7,68.37,"Europe>Northern Europe>Scandinavia>Sweden","Njulla.Larocque.2004"
"207",3906,9.83,62.27,"Europe>Northern Europe>Scandinavia>Norway","Ratasjoen.Velle.2005"
"208",3907,9.83,62.27,"Europe>Northern Europe>Scandinavia>Norway","Ratasjoen.Velle.2005"
"209",3908,9.83,62.27,"Europe>Northern Europe>Scandinavia>Norway","Ratasjoen.Velle.2005"
"210",3939,7.78,58.32,"Europe>Northern Europe>Scandinavia>Norway","Reiarsdalvatnet.Seppa.2009"
"211",3940,7.78,58.32,"Europe>Northern Europe>Scandinavia>Norway","Reiarsdalvatnet.Seppa.2009"
"212",3941,7.78,58.32,"Europe>Northern Europe>Scandinavia>Norway","Reiarsdalvatnet.Seppa.2009"
"213",3964,29.15,66.17,"Europe>Northern Europe>Scandinavia>Finland","Rukatunturi.Hicks.1985"
"214",3965,29.15,66.17,"Europe>Northern Europe>Scandinavia>Finland","Rukatunturi.Hicks.1985"
"215",3966,29.15,66.17,"Europe>Northern Europe>Scandinavia>Finland","Rukatunturi.Hicks.1985"
"216",3967,29.15,66.17,"Europe>Northern Europe>Scandinavia>Finland","Rukatunturi.Hicks.1985"
"217",3968,29.15,66.17,"Europe>Northern Europe>Scandinavia>Finland","Rukatunturi.Hicks.1985"
"218",3969,29.15,66.17,"Europe>Northern Europe>Scandinavia>Finland","Rukatunturi.Hicks.1985"
"219",3970,29.15,66.17,"Europe>Northern Europe>Scandinavia>Finland","Rukatunturi.Hicks.1985"
"220",4077,18.07,67.37,"Europe>Northern Europe>Scandinavia>Sweden","sjuuodjijaure.Rosen.2001"
"221",4078,18.07,67.37,"Europe>Northern Europe>Scandinavia>Sweden","sjuuodjijaure.Rosen.2001"
"222",4079,18.07,67.37,"Europe>Northern Europe>Scandinavia>Sweden","sjuuodjijaure.Rosen.2001"
"223",4080,18.07,67.37,"Europe>Northern Europe>Scandinavia>Sweden","sjuuodjijaure.Rosen.2001"
"224",4081,18.07,67.37,"Europe>Northern Europe>Scandinavia>Sweden","sjuuodjijaure.Rosen.2001"
"225",4082,18.07,67.37,"Europe>Northern Europe>Scandinavia>Sweden","sjuuodjijaure.Rosen.2001"
"226",4083,18.07,67.37,"Europe>Northern Europe>Scandinavia>Sweden","sjuuodjijaure.Rosen.2001"
"227",4084,18.07,67.37,"Europe>Northern Europe>Scandinavia>Sweden","sjuuodjijaure.Rosen.2001"
"228",4085,18.07,67.37,"Europe>Northern Europe>Scandinavia>Sweden","sjuuodjijaure.Rosen.2001"
"229",4086,18.07,67.37,"Europe>Northern Europe>Scandinavia>Sweden","sjuuodjijaure.Rosen.2001"
"230",4087,18.07,67.37,"Europe>Northern Europe>Scandinavia>Sweden","sjuuodjijaure.Rosen.2001"
"231",4192,29.28,67.81,"Europe>Northern Europe>Scandinavia>Finland","Sokli.Shala.2017"
"232",4193,29.28,67.81,"Europe>Northern Europe>Scandinavia>Finland","Sokli.Shala.2017"
"233",4194,29.28,67.81,"Europe>Northern Europe>Scandinavia>Finland","Sokli.Shala.2017"
"234",4195,29.28,67.81,"Europe>Northern Europe>Scandinavia>Finland","Sokli.Shala.2017"
"235",4196,29.28,67.81,"Europe>Northern Europe>Scandinavia>Finland","Sokli.Shala.2017"
"236",4197,29.28,67.81,"Europe>Northern Europe>Scandinavia>Finland","Sokli.Shala.2017"
"237",4198,29.28,67.81,"Europe>Northern Europe>Scandinavia>Finland","Sokli.Shala.2017"
"238",4199,29.28,67.81,"Europe>Northern Europe>Scandinavia>Finland","Sokli.Shala.2017"
"239",4200,29.28,67.81,"Europe>Northern Europe>Scandinavia>Finland","Sokli.Shala.2017"
"240",4201,29.28,67.81,"Europe>Northern Europe>Scandinavia>Finland","Sokli.Shala.2017"
"241",4242,13.68,66.62,"Europe>Northern Europe>Scandinavia>Norway","Soylegrotta.Lauritzen.1999"
"242",4243,13.68,66.62,"Europe>Northern Europe>Scandinavia>Norway","Soylegrotta.Lauritzen.1999"
"243",4250,12.32,63.12,"Europe>Northern Europe>Scandinavia>Sweden","Spaime.Hammarlund.2004"
"244",4251,12.32,63.12,"Europe>Northern Europe>Scandinavia>Sweden","Spaime.Hammarlund.2004"
