"","human.footprint.Age","human.footprint.Material"
"964",777,"Charcoal"
"965",778,"Charcoal"
"966",779,"Charcoal"
"967",779,"Charcoal"
"968",780,"Charcoal"
"969",780,"withe"
"970",780,"mortar"
"971",780,"charcoal"
"972",780,"charcoal"
"973",780,"textile"
"974",780,"Charcoal"
"975",780,"Charcoal"
"976",780,"Charcoal"
"977",780,"Wood"
"978",780,"Charcoal"
"979",780,"Charcoal"
"980",781,"Charcoal"
"981",781,"Charcoal"
"982",783,"Charcoal"
"983",783,"Charcoal"
"984",784,"Charcoal"
"985",784,"Charcoal"
"986",785,"charcoal"
"987",785,"Charcoal"
"988",785,"Charcoal"
"989",785,"Charcoal"
"990",785,"Charcoal"
"991",787,"Charcoal"
"992",787,"Charcoal"
"993",787,"Charcoal"
"994",789,"Charcoal"
"995",789,"Charcoal"
"996",790,"charcoal"
"997",790,"mortar"
"998",790,"charcoal"
"999",790,"charcoal"
"1000",790,"charcoal"
"1001",790,"charcoal"
"1002",790,"charcoal"
"1003",790,"charcoal"
"1004",790,"Birchbark"
"1005",790,"Charcoal"
"1006",790,"Charcoal"
"1007",790,"Charcoal"
"1008",790,"Charcoal"
"1009",791,"Charcoal"
"1010",791,"Charcoal"
"1011",792,"Charcoal"
"1012",792,"Charcoal"
"1013",794,"Charcoal"
"1014",795,"charcoal"
"1015",795,"Charcoal"
"1016",795,"Charcoal"
"1017",799,"Charcoal"
"1018",800,"Charcoal"
"1019",800,"charcoal"
"1020",800,"charcoal"
"1021",800,"Charcoal"
"1022",800,"Charcoal"
"1023",800,"Charcoal"
"1024",800,"Charcoal"
"1025",800,"Charcoal"
"1026",802,"Charcoal"
"1027",803,"Charcoal"
"1028",804,"Charcoal"
"1029",805,"Charcoal"
"1030",805,"Charcoal"
"1031",806,"Charcoal"
"1032",807,"Charcoal"
"1033",808,"Charcoal"
"1034",809,"Charcoal"
"1035",809,"Charcoal"
"1036",809,"Charcoal"
"1037",810,"charcoal"
"1038",810,"mortar"
"1039",810,"mortar"
"1040",810,"charcoal"
"1041",810,"charcoal"
"1042",810,"Charcoal"
"1043",810,"Charcoal"
"1044",810,"Charcoal"
"1045",810,"Peat"
"1046",810,"Charcoal"
"1047",810,"Charcoal"
"1048",810,"Charcoal"
"1049",810,"Charcoal"
"1050",811,"Charcoal"
"1051",811,"Charcoal"
"1052",811,"Charcoal"
"1053",813,"Charcoal"
"1054",813,"Charcoal"
"1055",814,"Charcoal"
"1056",814,"bone"
"1057",815,"Charcoal"
"1058",815,"Charcoal"
"1059",815,"Charcoal"
"1060",815,"bone"
"1061",816,"Cone"
"1062",816,"Charcoal"
"1063",816,"Charcoal"
"1064",817,"Charcoal"
"1065",817,"Birchbark"
"1066",818,"Charcoal"
"1067",818,"Charcoal"
"1068",820,"Charcoal"
"1069",820,"Charcoal"
"1070",820,"wood"
"1071",820,"charcoal"
"1072",820,"charcoal"
"1073",820,"Charcoal"
"1074",820,"Charcoal"
"1075",820,"Wood"
"1076",820,"Charcoal"
"1077",820,"Charcoal"
"1078",820,"Charcoal"
"1079",822,"Charcoal"
"1080",822,"Charcoal"
"1081",822,"Charcoal"
"1082",822,"Charcoal"
"1083",824,"Charcoal"
"1084",824,"Wood"
"1085",825,"Charcoal"
"1086",825,"Charcoal"
"1087",827,"Charcoal"
"1088",828,"Charcoal"
"1089",829,"Charcoal"
"1090",829,"Charcoal"
"1091",829,"Charcoal"
"1092",829,"Charcoal"
"1093",830,"bone"
"1094",830,"mortar"
"1095",830,"charcoal"
"1096",830,"macrofossil"
"1097",830,"charcoal"
"1098",830,"Charcoal"
"1099",830,"Charcoal"
"1100",830,"Charcoal"
"1101",830,"bone"
"1102",830,"Wood"
"1103",830,"Charcoal"
"1104",830,"Charcoal"
"1105",830,"Charcoal"
"1106",831,"Charcoal"
"1107",831,"Charcoal"
"1108",832,"Charcoal"
