"","Row.Id","LabID","Age","Error","Material","Taxa","d13C","Method","Long","Lat","LocAccuracy","Period","SiteID","SiteName","Country","Province","Continent","Source","Reference"
"5944",155394,"TUa-3482",1743,68,"Charcoal","","","",10.3,60.516667,2,"","","Sørum1","Norway","","Europe","Solheim_Norway",""
"5945",155395,"TUa-3483",1960,97,"Charcoal","","","",10.3,60.516667,2,"","","Sørum1","Norway","","Europe","Solheim_Norway",""
"5946",155396,"TUa-3484",3031,69,"Charcoal","","","",10.3,60.516667,2,"","","Sørum1","Norway","","Europe","Solheim_Norway",""
"5947",155397,"TUa-3485",2155,72,"Charcoal","","","",10.3,60.516667,2,"","","Sørum1","Norway","","Europe","Solheim_Norway",""
"5948",155398,"TUa-3503",1985,42,"Charcoal","","","",10.216667,60.166667,2,"","","Bråten","Norway","","Europe","Solheim_Norway",""
"5949",155399,"TUa-3504",2238,43,"Charcoal","","","",10.216667,60.166667,2,"","","Bråten","Norway","","Europe","Solheim_Norway",""
"5950",155400,"TUa-3505",2263,41,"Charcoal","","","",10.216667,60.166667,2,"","","Bråten","Norway","","Europe","Solheim_Norway",""
"5951",155401,"TUa-3506",2387,40,"Charcoal","","","",10.216667,60.166667,2,"","","Bråten","Norway","","Europe","Solheim_Norway",""
"5952",155402,"TUa-3507",2158,44,"Charcoal","","","",10.216667,60.166667,2,"","","Bråten","Norway","","Europe","Solheim_Norway",""
"5953",155403,"TUa-3508",2182,46,"Charcoal","","","",10.216667,60.166667,2,"","","Bråten","Norway","","Europe","Solheim_Norway","Pavel Pvlov  2001. Nature 413: 64-67. Magerud J.  1999. Boreas 28: 46-80.  Svendsen J. z.a. In: JoÔøΩo ZilhÔøΩo  Trabalhos de Arqueologia 33."
"5954",155406,"TUa-3545",310,49,"Charcoal","","","",10.683333,59.366667,2,"","","Evje","Norway","","Europe","Solheim_Norway",""
"5955",155407,"TUa-3546",1168,49,"Charcoal","","","",10.683333,59.366667,2,"","","Evje","Norway","","Europe","Solheim_Norway",""
"5956",155408,"TUa-3547",1108,53,"Charcoal","","","",10.683333,59.366667,2,"","","Evje","Norway","","Europe","Solheim_Norway",""
"5957",155409,"TUa-3548",1524,53,"Charcoal","","","",10.683333,59.366667,2,"","","Evje","Norway","","Europe","Solheim_Norway",""
"5958",155410,"TUa-3549",1866,59,"Charcoal","","","",10.683333,59.366667,2,"","","Evje","Norway","","Europe","Solheim_Norway",""
"5959",155411,"TUa-3550",1474,55,"Charcoal","","","",10.683333,59.366667,2,"","","Evje","Norway","","Europe","Solheim_Norway",""
"5960",155412,"TUa-3551",2822,57,"Charcoal","","","",10.683333,59.366667,2,"","","Evje","Norway","","Europe","Solheim_Norway",""
"5961",155413,"TUa-3552",1631,39,"Charcoal","","","",10.683333,59.366667,2,"","","Evje","Norway","","Europe","Solheim_Norway",""
"5962",155414,"TUa-3553",2025,41,"Charcoal","","","",10.683333,59.366667,2,"","","Evje","Norway","","Europe","Solheim_Norway",""
