"","Age"
"2087",1333
"2088",1334
"2089",1334
"2090",1335
"2091",1335
"2092",1336
"2093",1336
"2094",1337
"2095",1338
"2096",1340
"2097",1340
"2098",1347
"2099",1348
"2100",1349
"2101",1350
"2102",1350
"2103",1350
"2104",1353
"2105",1355
"2106",1355
"2107",1355
"2108",1357
"2109",1359
"2110",1360
"2111",1360
"2112",1360
"2113",1361
"2114",1362
"2115",1363
"2116",1365
"2117",1365
"2118",1370
"2119",1370
"2120",1370
"2121",1370
"2122",1370
"2123",1373
"2124",1380
"2125",1380
"2126",1380
"2127",1380
"2128",1381
"2129",1382
"2130",1385
"2131",1385
"2132",1387
"2133",1389
"2134",1390
"2135",1390
"2136",1390
"2137",1391
"2138",1391
"2139",1392
"2140",1393
"2141",1395
"2142",1400
"2143",1400
"2144",1400
"2145",1400
"2146",1401
"2147",1403
"2148",1403
"2149",1407
"2150",1409
"2151",1410
"2152",1410
"2153",1410
"2154",1410
"2155",1413
"2156",1414
"2157",1415
"2158",1415
"2159",1417
"2160",1417
"2161",1417
"2162",1418
"2163",1420
"2164",1420
"2165",1420
"2166",1420
"2167",1420
"2168",1420
"2169",1421
"2170",1422
"2171",1423
"2172",1425
"2173",1427
"2174",1430
"2175",1430
"2176",1430
"2177",1430
"2178",1430
"2179",1430
"2180",1430
"2181",1430
"2182",1434
"2183",1440
"2184",1440
"2185",1440
"2186",1440
"2187",1441
"2188",1441
"2189",1445
"2190",1446
"2191",1447
"2192",1447
"2193",1448
"2194",1450
"2195",1450
"2196",1450
"2197",1450
"2198",1450
"2199",1451
"2200",1451
"2201",1453
"2202",1454
"2203",1455
"2204",1455
"2205",1457
"2206",1460
"2207",1460
"2208",1460
"2209",1460
"2210",1462
"2211",1463
"2212",1469
"2213",1469
"2214",1470
"2215",1470
"2216",1470
"2217",1470
"2218",1471
"2219",1471
"2220",1474
"2221",1475
"2222",1477
"2223",1479
"2224",1480
"2225",1480
"2226",1480
"2227",1480
"2228",1480
"2229",1480
"2230",1480
"2231",1480
"2232",1480
"2233",1480
"2234",1483
"2235",1485
"2236",1485
"2237",1488
"2238",1490
"2239",1490
"2240",1490
"2241",1490
"2242",1490
"2243",1490
"2244",1490
"2245",1490
"2246",1490
"2247",1492
"2248",1493
"2249",1494
"2250",1495
"2251",1496
"2252",1496
"2253",1498
"2254",1499
"2255",1500
"2256",1500
"2257",1500
"2258",1500
"2259",1500
"2260",1500
"2261",1501
"2262",1502
"2263",1502
"2264",1503
"2265",1504
"2266",1504
"2267",1505
"2268",1505
"2269",1506
"2270",1507
"2271",1508
"2272",1508
"2273",1509
"2274",1510
"2275",1510
"2276",1510
"2277",1510
"2278",1510
"2279",1510
"2280",1511
"2281",1513
"2282",1514
"2283",1514
"2284",1515
"2285",1515
"2286",1515
"2287",1515
"2288",1515
"2289",1516
"2290",1517
"2291",1517
"2292",1518
"2293",1519
"2294",1520
"2295",1520
"2296",1520
"2297",1520
"2298",1520
"2299",1520
"2300",1520
"2301",1521
"2302",1522
"2303",1522
"2304",1524
"2305",1524
"2306",1525
"2307",1525
"2308",1526
"2309",1527
"2310",1530
"2311",1530
"2312",1530
"2313",1530
"2314",1530
"2315",1530
"2316",1530
"2317",1530
"2318",1530
"2319",1530
"2320",1530
"2321",1530
"2322",1532
"2323",1532
"2324",1532
"2325",1533
"2326",1533
"2327",1534
"2328",1535
"2329",1538
"2330",1538
"2331",1538
"2332",1538
"2333",1540
"2334",1540
"2335",1540
"2336",1540
"2337",1540
"2338",1540
"2339",1540
"2340",1540
"2341",1540
"2342",1540
"2343",1540
"2344",1540
"2345",1541
"2346",1541
"2347",1542
"2348",1542
"2349",1543
