"yearsBP","conN","decN","wetwN","wetmN","pasN","araN","heaN","SPD","clim","conNs","decNs","wetwNs","wetmNs","pasNs","araNs","heaNs"
3500,3.02507631844365,3.91771379613101,0.359094283038963,0.400956939597843,0.318462862100708,0.031341338773172,0.57953861333629,0.156644684949194,-0.210481358235,2.37870141156154,3.52009125573907,0.390324577728593,0.326873826527008,0.259892091679282,0.0241449456035185,0.580639854835344
3400,2.07991173618815,3.71636788916017,0.237249476419484,0.307423869972936,0.224793439900479,0.0279921139918362,0.472357434191831,0.0853955206892512,-0.475003110923,2.36307152066556,3.45422127799269,0.307656764597614,0.314039641459627,0.259456884589596,0.0296667263825043,0.571366029327358
3300,2.00239998160416,3.00848399291975,0.304558824551847,0.362000553323963,0.322797731453628,0.0313843126053758,0.630640519455068,0.104447571665582,-0.755436944461,2.39211071124564,3.44835243469314,0.300300861336764,0.315884515099799,0.268662032632205,0.0296882132986062,0.60252396970412
3200,2.76806341471207,4.05705756424171,0.30299871176341,0.328175426289379,0.208201895345506,0.0122343333287935,0.327130560385678,0.107885120433756,-0.246273748716,2.31387976477873,3.45831771171216,0.281602337578247,0.32880715443781,0.268772140256023,0.0218093229670849,0.579671106236855
3100,1.96623962228364,4.14291213404769,0.328993659559701,0.482840034146252,0.375523948834888,0.0341602948470908,0.737166155878388,0.0865273255424593,-0.0771851252165,2.35673422798206,3.69243650403721,0.312183731958319,0.356015392968562,0.263636080896838,0.0231973140879424,0.588524879350479
3000,2.05265762798985,3.42216480835514,0.258032788075034,0.263019944477996,0.175302520399028,0.0126798622530844,0.271873349377238,0.0799021248959402,0.0847759498485,2.31572478353692,3.49015106239665,0.296675053132715,0.333678711733292,0.273068919596164,0.0234200785500878,0.498271294616523
2900,2.96632574642394,4.1244976662142,0.315883889928631,0.604365080884629,0.463169213082422,0.0436969599162626,0.704022264391458,0.0735347615419406,0.23021628636,2.30593302153363,3.81601386767787,0.300970112521122,0.385361693967652,0.298321658730951,0.0281884110846737,0.531818413859421
2800,2.0032335698552,3.47010532864552,0.335694368593557,0.297148524055515,0.260058945911955,0.0142897932410316,0.395570211271293,0.0823265316179848,-0.104301123816,2.29315332714481,3.7324128974644,0.303203682199074,0.380741296593564,0.289978242132558,0.0289933765786473,0.505537213564422
2700,1.46825810077148,3.65758679310176,0.229544488047977,0.479624457975,0.315765497628899,0.0284625694188266,0.610740202345154,0.109133154820383,-0.40161848954,2.20412968033936,3.69989702208574,0.293707582190055,0.390574736390709,0.302974250379475,0.0213761813299293,0.525306180443468
2600,3.13798423822456,5.02170390061755,0.394846073654704,0.57157158036996,0.367762199323082,0.0460620199328027,0.703298252521429,0.0971552869758551,-1.00420116429,2.26578315092478,3.86306402351791,0.320028310098746,0.423593200190337,0.309397745789397,0.0372622946758149,0.535685856595805
2500,2.85438953086742,4.14601743121627,0.304888970117044,0.428116525166191,0.38604120270942,0.0414734404710436,0.384120616734935,0.0846512611107465,-0.75498793161,2.41380813568874,4.00525570330498,0.309759843939908,0.431857696670615,0.334803361127099,0.0437677302019234,0.543827293217128
2400,2.58728928431337,5.18183952656548,0.673597972926538,0.637841880757206,0.459958409397118,0.0839476607389487,0.900372858537104,0.124628272471354,-1.02811892221,2.50291341174266,4.14585344859545,0.457777672232762,0.470566003479094,0.346865426921703,0.0627105506049964,0.567142536454087
2300,2.40276684854416,3.4956279253728,0.356781087212708,0.408225143297353,0.362267143294189,0.0212717335192694,0.558115356989291,0.183246733802895,-1.13332990748,2.4089869287627,4.06494292251109,0.445089343418763,0.461239142122981,0.373574658763869,0.0526096971291093,0.608034251827238
2200,1.92994969973496,2.64259475196201,0.182940454707294,0.285045314483227,0.152492091090684,0.0218306513680608,0.218914790079365,0.180137324675195,-0.832331325248,2.39677295040932,3.96749666546195,0.404439838282179,0.463992313373635,0.32919221276505,0.0215511924436653,0.538733184068367
2100,2.71447916175147,3.8377591622598,0.279853312947337,0.456650687563871,0.316026846754631,0.0296211018399863,0.585315879986957,0.179115456614381,-1.47074219911,2.60447646057265,3.93165435246765,0.273191618289113,0.44552801420854,0.337187627171146,0.0257258766040238,0.565839708170605
2000,3.17448659887262,4.03062554866487,0.347630554405974,0.40408327116039,0.39907495501442,0.0351059774799042,0.508568789150086,0.167721077282217,-0.635200883209,2.61056018734733,4.00171937997007,0.270141440686868,0.45889485759665,0.349088978226221,0.0323635396599455,0.551243791999881
1900,2.32182847270355,3.58010292836182,0.224695439724642,0.476466947953365,0.334639764778326,0.0486762355583941,0.508267085454043,0.121142825608903,-0.894270942986,2.52180001098668,3.99203389687757,0.284059769025984,0.458500168843946,0.344357201862684,0.0418911065191494,0.52338219670454
1800,3.0748174081689,4.00533919270746,0.319442410256654,0.69062265486283,0.513207663666268,0.0818763661793963,0.744342066222825,0.111176259021269,-0.392274903365,2.60305469829594,3.86498830838881,0.297256134795756,0.473381553155554,0.362523839142234,0.0652763008688954,0.574842403774239
1700,2.55899550430345,4.19742787400164,0.37102788600452,0.468143744786588,0.516354668239351,0.0645165023884784,0.827314672864857,0.102311111666928,-0.406332438496,2.62909280758915,3.87141461373699,0.305055245328605,0.478384955608104,0.370580447548267,0.0731964342839376,0.564405520106775
1600,3.17975481932462,4.16703745762458,0.497966307825549,0.820043714684743,0.850076827133715,0.128065707611343,1.22931679371047,0.119041511771543,-0.286196686991,2.8373936608541,3.74456435511937,0.396145534695574,0.501160184849046,0.440267545239628,0.0962911049999109,0.660291439638372
1500,1.35436923566001,2.73031049296975,0.177888277328239,0.3160570922435,0.275787814131795,0.0420154204068594,0.372810263810412,0.163262179680343,-0.250646924169,2.61070867317219,3.64889967606899,0.348960823719436,0.489639178467314,0.457881219959787,0.0850405640091015,0.682276507314236
1400,1.76035534009458,2.42252327610519,0.1969204887124,0.291281960157641,0.323493333842171,0.0345972790894802,0.454216105763624,0.179263062105979,-0.790991499909,2.37502013004251,3.62139074158689,0.290925024622062,0.490418759176616,0.458947860972292,0.0383063497481701,0.663547968139474
